,sample_idx,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.12_adv_conf0.12,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.12_is_acc,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.12_is_rob0.12,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.12_nat_conf,Sehwag2021Proxy_R18_cifar10_autoaugment_trades0.12_pred
0,0,0.92910236120224,1,1,0.9602283835411072,3
1,1,0.9891989827156067,1,1,0.993776798248291,8
2,2,0.8602450489997864,1,1,0.9384047985076904,8
3,3,0.9937396049499512,1,1,0.9966069459915161,0
4,4,0.997835099697113,1,1,0.9987468719482422,6
5,5,0.9653356075286865,1,1,0.99222332239151,6
6,6,0.9860472679138184,1,1,0.9915000796318054,1
7,7,0.9972062706947327,1,1,0.9986129999160767,6
8,8,0.9725737571716309,1,1,0.9909483790397644,3
9,9,0.8924714922904968,1,1,0.9531185626983643,1
10,10,0.9754927158355713,1,1,0.9889667630195618,0
11,11,0.9981301426887512,1,1,0.9984827637672424,9
12,12,0.59788978099823,1,1,0.8050344586372375,5
13,13,0.9987044334411621,1,1,0.9989124536514282,7
14,14,0.9996740818023682,1,1,0.999761164188385,9
15,15,0.9996322393417358,1,1,0.9998075366020203,8
16,16,0.99672532081604,1,1,0.9982374906539917,5
17,17,0.9997746348381042,1,1,0.9998962879180908,7
18,18,0.9878439903259277,1,1,0.9949581027030945,8
19,19,0.9991959929466248,1,1,0.9994144439697266,6
20,20,0.987630307674408,1,1,0.9943898320198059,7
21,21,0.8981428146362305,1,1,0.9280049800872803,0
22,22,0.5790635943412781,1,1,0.735152006149292,4
23,23,0.9982529282569885,1,1,0.998554527759552,9
24,24,0.64082270860672,1,0,0.6451238989830017,5
25,25,0.5345802903175354,1,1,0.6998535394668579,2
26,26,0.7112767100334167,1,1,0.9048573970794678,4
27,27,0.9994150400161743,1,1,0.9997225403785706,0
28,28,0.9955790638923645,1,1,0.9979934692382812,9
29,29,0.999718964099884,1,1,0.9997962117195129,6
30,30,0.9979369640350342,1,1,0.9990379810333252,6
31,31,0.9986981153488159,1,1,0.9992782473564148,5
32,32,0.9796152710914612,1,1,0.9880450367927551,4
33,33,0.8802677989006042,1,1,0.9572535157203674,5
