,sample_idx,Sehwag2021Proxy_R18_cifar10_trades0.12_adv_conf0.12,Sehwag2021Proxy_R18_cifar10_trades0.12_is_acc,Sehwag2021Proxy_R18_cifar10_trades0.12_is_rob0.12,Sehwag2021Proxy_R18_cifar10_trades0.12_nat_conf,Sehwag2021Proxy_R18_cifar10_trades0.12_pred
0,0,0.9767906665802002,1,1,0.9864256381988525,3
1,1,0.9925933480262756,1,1,0.9945975542068481,8
2,2,0.9383624196052551,1,1,0.9636983871459961,8
3,3,0.9860943555831909,1,1,0.990471363067627,0
4,4,0.9939992427825928,1,1,0.9964348077774048,6
5,5,0.9927712082862854,1,1,0.995832622051239,6
6,6,0.9485135078430176,1,1,0.9617898464202881,1
7,7,0.998412013053894,1,1,0.9989843964576721,6
8,8,0.9776113033294678,1,1,0.9920411705970764,3
9,9,0.8778918981552124,1,1,0.9410107135772705,1
10,10,0.992734432220459,1,1,0.9959304928779602,0
11,11,0.9988580942153931,1,1,0.9989961981773376,9
12,12,0.48491883277893066,0,0,0.7080239653587341,3
13,13,0.9992895126342773,1,1,0.9993732571601868,7
14,14,0.9992652535438538,1,1,0.9994364380836487,9
15,15,0.9993563294410706,1,1,0.9995493292808533,8
16,16,0.9900818467140198,1,1,0.9936662316322327,5
17,17,0.9986749291419983,1,1,0.999150276184082,7
18,18,0.9868208765983582,1,1,0.9922054409980774,8
19,19,0.9968288540840149,1,1,0.9974632263183594,6
20,20,0.9822050929069519,1,1,0.9876339435577393,7
21,21,0.9867297410964966,1,1,0.9883042573928833,0
22,22,0.5334091186523438,1,1,0.7447385191917419,4
23,23,0.9973147511482239,1,1,0.9977165460586548,9
24,24,0.5830631852149963,0,1,0.7582229971885681,4
25,25,0.9098230004310608,1,1,0.9318417310714722,2
26,26,0.9567132592201233,1,1,0.9799743890762329,4
27,27,0.9946880340576172,1,1,0.9963881969451904,0
28,28,0.986151397228241,1,1,0.9924994111061096,9
29,29,0.999708354473114,1,1,0.9997496008872986,6
30,30,0.9984051585197449,1,1,0.9992009997367859,6
31,31,0.9980314373970032,1,1,0.9987599849700928,5
