,sample_idx,Gowal2020Uncovering_28_10_extra_adv_conf1_255,Gowal2020Uncovering_28_10_extra_adv_conf2_255,Gowal2020Uncovering_28_10_extra_adv_conf4_255,Gowal2020Uncovering_28_10_extra_is_acc,Gowal2020Uncovering_28_10_extra_is_rob1_255,Gowal2020Uncovering_28_10_extra_is_rob2_255,Gowal2020Uncovering_28_10_extra_is_rob4_255,Gowal2020Uncovering_28_10_extra_nat_conf,Gowal2020Uncovering_28_10_extra_pred
0,0,0.4282159805297852,0.4230108857154846,0.40914836525917053,1,1,1,1,0.4323364198207855,3
1,1,0.7322630286216736,0.7235514521598816,0.7022899389266968,1,1,1,1,0.7401817440986633,8
2,2,0.6590520143508911,0.6427437663078308,0.5968288779258728,1,1,1,1,0.6720197796821594,8
3,3,0.7855138778686523,0.778303861618042,0.7629256844520569,1,1,1,1,0.7923955321311951,0
4,4,0.4251913130283356,0.4123120903968811,0.3840934932231903,1,1,1,1,0.4366389513015747,6
5,5,0.5332647562026978,0.5226208567619324,0.4912910461425781,1,1,1,1,0.5417266488075256,6
6,6,0.575568437576294,0.5415569543838501,0.46050965785980225,1,1,1,1,0.6047440767288208,1
7,7,0.2820447087287903,0.2775847315788269,0.2687987983226776,1,1,1,1,0.286367803812027,6
8,8,0.3668119609355927,0.3522093594074249,0.32520630955696106,1,1,1,1,0.3809405267238617,3
9,9,0.6397800445556641,0.6129254698753357,0.5292232036590576,1,1,1,1,0.6604992151260376,1
10,10,0.7268911004066467,0.7209943532943726,0.7068260908126831,1,1,1,1,0.7326138019561768,0
11,11,0.8147605657577515,0.8107520937919617,0.8021067380905151,1,1,1,1,0.8186585903167725,9
12,12,0.3518093228340149,0.3374989926815033,0.3058392107486725,1,1,1,1,0.36580270528793335,5
13,13,0.8757801055908203,0.8734877705574036,0.8680886626243591,1,1,1,1,0.8778337240219116,7
14,14,0.7212226390838623,0.7160061597824097,0.7043915390968323,1,1,1,1,0.726266086101532,9
15,15,0.7746307253837585,0.7661113739013672,0.7477048635482788,1,1,1,1,0.782814621925354,8
16,16,0.7383387088775635,0.7285685539245605,0.7036209106445312,1,1,1,1,0.7468424439430237,5
17,17,0.5978938341140747,0.5899655222892761,0.5737141370773315,1,1,1,1,0.6054753065109253,7
18,18,0.6811966300010681,0.6691346764564514,0.6380283832550049,1,1,1,1,0.6911579370498657,8
19,19,0.654363214969635,0.6451987028121948,0.6249994039535522,1,1,1,1,0.6631267666816711,6
20,20,0.6303040385246277,0.6233600378036499,0.6055147051811218,1,1,1,1,0.6364818215370178,7
21,21,0.928055465221405,0.923772156238556,0.9137455224990845,1,1,1,1,0.9319536685943604,0
22,22,0.26775792241096497,0.27660512924194336,0.3091229498386383,0,1,0,0,0.2960468530654907,0
23,23,0.8974678516387941,0.895904004573822,0.8926420211791992,1,1,1,1,0.898918628692627,9
24,24,0.29680368304252625,0.2850771248340607,0.28084060549736023,0,1,1,0,0.3096432685852051,4
25,25,0.4768379628658295,0.4695655405521393,0.451237291097641,1,1,1,1,0.4832397997379303,2
26,26,0.2878718674182892,0.2769251763820648,0.25580400228500366,1,1,1,1,0.29885169863700867,4
27,27,0.7193679213523865,0.7126221656799316,0.6986867189407349,1,1,1,1,0.7258775234222412,0
28,28,0.6031189560890198,0.5925737619400024,0.5645274519920349,1,1,1,1,0.6122421026229858,9
29,29,0.6509981751441956,0.6443542242050171,0.6305884122848511,1,1,1,1,0.6574779748916626,6
30,30,0.3448794484138489,0.3332556188106537,0.30933937430381775,1,1,1,0,0.35510677099227905,6
31,31,0.4755309224128723,0.4589313566684723,0.4225184917449951,1,1,1,1,0.49176523089408875,5
32,32,0.3756305277347565,0.3672318458557129,0.34164363145828247,1,1,1,1,0.3819381296634674,4
33,33,0.4237164258956909,0.4106192886829376,0.3874259889125824,1,1,1,0,0.43571996688842773,5
34,34,0.8546122312545776,0.8495907187461853,0.838165819644928,1,1,1,1,0.8593295216560364,9
35,35,0.2383372932672501,0.22987823188304898,0.2532472610473633,0,1,1,0,0.24785485863685608,3
36,36,0.3340858817100525,0.3228636682033539,0.29976481199264526,1,1,1,1,0.3447967767715454,4
37,37,0.5265098214149475,0.4932860136032105,0.43279561400413513,0,1,1,0,0.5577424168586731,9
38,38,0.8499047160148621,0.8474234938621521,0.8419061303138733,1,1,1,1,0.8522979021072388,9
39,39,0.6274205446243286,0.619950532913208,0.6038988828659058,1,1,1,1,0.6345362067222595,5
40,40,0.8292005062103271,0.8217594027519226,0.8068121075630188,1,1,1,1,0.836455762386322,4
41,41,0.6384705305099487,0.6308550834655762,0.6156219244003296,1,1,1,1,0.6463756561279297,6
42,42,0.5953116416931152,0.5858724117279053,0.5633864402770996,1,1,1,1,0.6037103533744812,5
43,43,0.361647754907608,0.35256123542785645,0.33175042271614075,1,1,1,1,0.3699575364589691,6
44,44,0.7140584588050842,0.7076798677444458,0.6940593719482422,1,1,1,1,0.7200275659561157,0
45,45,0.8863863348960876,0.8839432597160339,0.878933310508728,1,1,1,1,0.8886693716049194,9
46,46,0.4208045899868012,0.4107668399810791,0.3858516216278076,1,1,1,1,0.4291054308414459,3
47,47,0.2317321598529816,0.24303366243839264,0.3103145956993103,1,1,0,0,0.2729903757572174,9
48,48,0.3470450341701508,0.3606497049331665,0.39116665720939636,1,0,0,0,0.3540206253528595,7
49,49,0.3664571642875672,0.35487139225006104,0.3327852487564087,1,1,1,0,0.37816134095191956,6
50,50,0.8060896396636963,0.8023295402526855,0.7934746146202087,1,1,1,1,0.8098568320274353,9
51,51,0.5242107510566711,0.5215840935707092,0.5116866827011108,1,1,1,1,0.5253270864486694,8
52,52,0.5274789929389954,0.4830306172370911,0.3891045153141022,1,1,1,1,0.5687454342842102,0
53,53,0.21778036653995514,0.23434683680534366,0.2695126533508301,0,0,0,0,0.22327496111392975,5
54,54,0.8783390522003174,0.8759401440620422,0.8706386089324951,1,1,1,1,0.880612313747406,8
55,55,0.7116808295249939,0.7060189843177795,0.692939817905426,1,1,1,1,0.716448962688446,8
56,56,0.6241685152053833,0.6157079339027405,0.5912348628044128,1,1,1,1,0.631523847579956,7
57,57,0.3926311135292053,0.377934604883194,0.3367884159088135,1,1,1,1,0.40536755323410034,7
58,58,0.21102991700172424,0.22328969836235046,0.2699461281299591,0,1,0,0,0.22219079732894897,3
59,59,0.2527305781841278,0.25700971484184265,0.28411737084388733,0,1,0,0,0.26193010807037354,3
60,60,0.6798832416534424,0.6733070611953735,0.6591731309890747,1,1,1,1,0.686151385307312,7
