,sample_idx,resnet50_cifar10_autoaugment_trades1_255_adv_conf1_255,resnet50_cifar10_autoaugment_trades1_255_is_acc,resnet50_cifar10_autoaugment_trades1_255_is_rob1_255,resnet50_cifar10_autoaugment_trades1_255_nat_conf,resnet50_cifar10_autoaugment_trades1_255_pred
0,0,0.8747888207435608,1,1,0.9191749095916748,3
1,1,0.9846805930137634,1,1,0.9903034567832947,8
2,2,0.5145204067230225,1,0,0.6186742782592773,8
3,3,0.9777190089225769,1,1,0.9850150942802429,0
4,4,0.8634384870529175,1,1,0.9360520243644714,6
5,5,0.8239642381668091,1,1,0.9068619608879089,6
6,6,0.9372189044952393,1,1,0.9615572094917297,1
7,7,0.7065601348876953,1,1,0.8401811718940735,6
8,8,0.7543294429779053,1,1,0.8825008869171143,3
9,9,0.8897053003311157,1,1,0.9503178000450134,1
10,10,0.43662118911743164,1,0,0.6999329328536987,0
11,11,0.9991913437843323,1,1,0.9993832111358643,9
12,12,0.6336432695388794,1,0,0.4856160879135132,5
13,13,0.9988574981689453,1,1,0.9990173578262329,7
14,14,0.9987888932228088,1,1,0.99907386302948,9
15,15,0.9430171251296997,1,1,0.9655953645706177,8
16,16,0.7244630455970764,1,1,0.80524742603302,5
17,17,0.982283890247345,1,1,0.9862785935401917,7
18,18,0.9771067500114441,1,1,0.9892333745956421,8
19,19,0.9972642660140991,1,1,0.9982503056526184,6
20,20,0.8587518930435181,1,1,0.9219710230827332,7
21,21,0.9587277770042419,1,1,0.9648945331573486,0
22,22,0.48314788937568665,1,1,0.6922631859779358,4
23,23,0.9994246959686279,1,1,0.9995658993721008,9
24,24,0.6015945672988892,0,0,0.5361264944076538,4
25,25,0.44116589426994324,1,0,0.5558713674545288,2
26,26,0.6848331093788147,1,1,0.7989623546600342,4
27,27,0.9630295038223267,1,1,0.9794676899909973,0
28,28,0.9592359066009521,1,1,0.9740650057792664,9
29,29,0.995823860168457,1,1,0.9966357350349426,6
30,30,0.8994730710983276,1,1,0.9459009170532227,6
31,31,0.9769423007965088,1,1,0.9840222001075745,5
32,32,0.862346351146698,1,1,0.919751763343811,4
33,33,0.6134266257286072,1,1,0.7087482810020447,5
34,34,0.9968075752258301,1,1,0.9976432919502258,9
35,35,0.3877352178096771,0,0,0.524415910243988,3
36,36,0.4761873483657837,1,1,0.6039541363716125,4
37,37,0.6542848944664001,0,0,0.5615652799606323,9
38,38,0.9978698492050171,1,1,0.998386025428772,9
39,39,0.99111008644104,1,1,0.9938536882400513,5
40,40,0.986255407333374,1,1,0.9924263954162598,4
41,41,0.9913964867591858,1,1,0.994295060634613,6
42,42,0.9959403276443481,1,1,0.9967085123062134,5
43,43,0.9692990779876709,1,1,0.9804381132125854,6
44,44,0.9721135497093201,1,1,0.9794065356254578,0
45,45,0.9973160624504089,1,1,0.9981160163879395,9
46,46,0.8953606486320496,1,1,0.9334224462509155,3
47,47,0.33859705924987793,1,0,0.4376290738582611,9
48,48,0.973492443561554,1,1,0.9835984110832214,7
49,49,0.8832975625991821,1,1,0.9484956860542297,6
50,50,0.985692024230957,1,1,0.9905565977096558,9
51,51,0.9826297760009766,1,1,0.990982711315155,8
52,52,0.7290136814117432,1,1,0.8493260145187378,0
53,53,0.4971036911010742,1,1,0.7560600638389587,3
54,54,0.9963797926902771,1,1,0.9975584745407104,8
55,55,0.9848445057868958,1,1,0.9921574592590332,8
56,56,0.5412784814834595,1,0,0.6146373748779297,7
57,57,0.4024391770362854,1,0,0.5846847891807556,7
58,58,0.44790583848953247,0,0,0.40824222564697266,3
59,59,0.5851571559906006,1,0,0.42667362093925476,6
60,60,0.9930773973464966,1,1,0.9944818019866943,7
61,61,0.5082360506057739,1,1,0.718960165977478,3
62,62,0.990789532661438,1,1,0.9931986927986145,6
63,63,0.6714537739753723,0,1,0.8198832273483276,9
64,64,0.6713559031486511,1,1,0.8370833396911621,6
65,65,0.6985886693000793,1,1,0.8194080591201782,2
66,66,0.9650278687477112,1,1,0.9780202507972717,1
67,67,0.990753173828125,1,1,0.9929307699203491,2
68,68,0.7604635953903198,1,1,0.8683539032936096,3
69,69,0.9551920294761658,1,1,0.9814619421958923,7
70,70,0.8487963080406189,1,1,0.9073091149330139,2
71,71,0.5601979494094849,1,0,0.748074471950531,6
72,72,0.9960512518882751,1,1,0.9971088767051697,8
73,73,0.9962353110313416,1,1,0.9971729516983032,8
74,74,0.8035964369773865,1,1,0.9050619006156921,0
75,75,0.9923152923583984,1,1,0.9947434663772583,2
76,76,0.9857494831085205,1,1,0.9931087493896484,9
77,77,0.7997248768806458,1,1,0.8753353953361511,3
78,78,0.8985956907272339,1,1,0.9302809238433838,3
79,79,0.9986251592636108,1,1,0.9988793730735779,8
80,80,0.9832610487937927,1,1,0.9902092218399048,8
81,81,0.8631587028503418,1,1,0.9084233045578003,1
82,82,0.9988401532173157,1,1,0.9990043044090271,1
83,83,0.9983158111572266,1,1,0.9986631870269775,7
84,84,0.9290085434913635,1,1,0.9628675580024719,2
85,85,0.5196611285209656,1,0,0.6340246796607971,5
86,86,0.4114316403865814,0,0,0.43812295794487,3
87,87,0.4969591498374939,1,0,0.6652411818504333,7
88,88,0.9967947602272034,1,1,0.9975047707557678,8
89,89,0.9897951483726501,1,1,0.9937519431114197,9
