,sample_idx,cifar_resnet50_cifar10_autoaugment_trades4_255_adv_conf4_255,cifar_resnet50_cifar10_autoaugment_trades4_255_is_acc,cifar_resnet50_cifar10_autoaugment_trades4_255_is_rob4_255,cifar_resnet50_cifar10_autoaugment_trades4_255_nat_conf,cifar_resnet50_cifar10_autoaugment_trades4_255_pred
0,0,0.464912086725235,1,1,0.528663694858551,3
1,1,0.8393499851226807,1,1,0.8883165717124939,8
2,2,0.3997163772583008,1,1,0.5669121742248535,8
3,3,0.8425560593605042,1,1,0.8926398754119873,0
4,4,0.43085697293281555,1,1,0.5861155390739441,6
5,5,0.5113145112991333,1,1,0.6188948750495911,6
6,6,0.7312703132629395,1,1,0.8252485990524292,1
7,7,0.31788134574890137,1,0,0.2506943345069885,6
8,8,0.33538731932640076,1,0,0.49286699295043945,3
9,9,0.4022243022918701,1,0,0.6090166568756104,1
10,10,0.3952433168888092,1,1,0.6049025058746338,0
11,11,0.9003331065177917,1,1,0.9289155602455139,9
12,12,0.4913187325000763,0,0,0.28030505776405334,4
13,13,0.9715566635131836,1,1,0.9775097966194153,7
14,14,0.8525798916816711,1,1,0.8898010849952698,9
15,15,0.47684404253959656,1,1,0.7138120532035828,8
16,16,0.5530366897583008,1,1,0.6395729184150696,5
17,17,0.4860058128833771,1,1,0.607632577419281,7
18,18,0.47172147035598755,1,1,0.722965657711029,8
19,19,0.8673474192619324,1,1,0.9114043712615967,6
20,20,0.35781702399253845,1,1,0.6061562895774841,7
21,21,0.8355985283851624,1,1,0.8848128318786621,0
22,22,0.37590065598487854,0,1,0.47919294238090515,0
23,23,0.9612835049629211,1,1,0.9741421341896057,9
24,24,0.3902665376663208,0,0,0.5508391261100769,4
25,25,0.4295276403427124,1,1,0.49873101711273193,2
26,26,0.42938026785850525,0,0,0.26564866304397583,3
27,27,0.4225275218486786,1,1,0.615753710269928,0
28,28,0.5807066559791565,1,1,0.6835912466049194,9
29,29,0.7926971912384033,1,1,0.8419193029403687,6
30,30,0.40688657760620117,1,1,0.5573042035102844,6
31,31,0.48016029596328735,1,1,0.6232311725616455,5
32,32,0.3335491716861725,1,0,0.45995843410491943,4
33,33,0.46195802092552185,1,0,0.40362539887428284,5
34,34,0.8815135359764099,1,1,0.9229928851127625,9
35,35,0.34593063592910767,0,1,0.4633103311061859,3
36,36,0.397333562374115,1,0,0.39730510115623474,4
37,37,0.5073121786117554,0,0,0.6864316463470459,9
38,38,0.8526126146316528,1,1,0.8953240513801575,9
39,39,0.7889155745506287,1,1,0.8456282615661621,5
40,40,0.7095820307731628,1,1,0.8221395611763,4
41,41,0.7934948205947876,1,1,0.8476190567016602,6
42,42,0.7228459715843201,1,1,0.8005852699279785,5
43,43,0.436877578496933,1,1,0.5643265247344971,6
44,44,0.6423779726028442,1,1,0.7438542246818542,0
45,45,0.9138750433921814,1,1,0.9372284412384033,9
46,46,0.5928558707237244,1,1,0.6821900606155396,3
47,47,0.38206109404563904,0,0,0.27102795243263245,3
48,48,0.5539119839668274,1,0,0.5167085528373718,7
49,49,0.4952799379825592,1,0,0.48798668384552,6
50,50,0.8287503123283386,1,1,0.8947868347167969,9
51,51,0.5980014801025391,1,1,0.6665223240852356,8
52,52,0.5339640378952026,1,0,0.31624579429626465,0
53,53,0.4463656544685364,1,0,0.41579172015190125,3
54,54,0.9061250686645508,1,1,0.9391056299209595,8
55,55,0.4542030096054077,1,0,0.7167534828186035,8
56,56,0.4728696942329407,0,0,0.29790663719177246,5
57,57,0.32037824392318726,0,1,0.40349602699279785,5
58,58,0.27205589413642883,0,0,0.2641608417034149,3
59,59,0.30793148279190063,0,0,0.2679288983345032,3
60,60,0.7662599682807922,1,1,0.8332162499427795,7
61,61,0.4433986246585846,1,0,0.4160996973514557,3
62,62,0.7150102257728577,1,1,0.7857853770256042,6
63,63,0.44196394085884094,0,1,0.6213865876197815,9
64,64,0.36791902780532837,1,1,0.4934558868408203,6
65,65,0.39086151123046875,1,0,0.35846439003944397,2
66,66,0.47117576003074646,1,1,0.6579861044883728,1
67,67,0.8201665878295898,1,1,0.8675165176391602,2
68,68,0.48281848430633545,1,1,0.6158625483512878,3
69,69,0.6781176328659058,0,0,0.4823298156261444,9
70,70,0.4293890595436096,1,0,0.36021339893341064,2
71,71,0.4571462571620941,1,0,0.5190614461898804,6
72,72,0.821272611618042,1,1,0.8652010560035706,8
73,73,0.8312475681304932,1,1,0.868861734867096,8
74,74,0.4538796842098236,1,1,0.6497581005096436,0
75,75,0.6767598986625671,1,1,0.7413443922996521,2
76,76,0.5870426297187805,1,1,0.7475565671920776,9
77,77,0.4191320538520813,1,1,0.5547863841056824,3
78,78,0.5842002034187317,1,1,0.6396030783653259,3
79,79,0.9388561248779297,1,1,0.9550366997718811,8
80,80,0.7351699471473694,1,1,0.8272455334663391,8
81,81,0.5721793174743652,1,1,0.7118518948554993,1
82,82,0.9518177509307861,1,1,0.9679924249649048,1
83,83,0.8364045023918152,1,1,0.9180122017860413,7
84,84,0.5673991441726685,1,1,0.7321076393127441,2
85,85,0.6074955463409424,0,1,0.7648173570632935,7
86,86,0.35336464643478394,1,0,0.3608380854129791,2
87,87,0.4748327434062958,0,0,0.2802669405937195,8
88,88,0.7965200543403625,1,1,0.8586276173591614,8
89,89,0.7515665888786316,1,1,0.8294417262077332,9
90,90,0.811769425868988,1,1,0.870839536190033,0
91,91,0.3561969995498657,1,0,0.3344571590423584,3
92,92,0.9273346662521362,1,1,0.9550855159759521,8
93,93,0.603801965713501,1,1,0.6799711585044861,6
94,94,0.32028844952583313,1,1,0.4018495976924896,4
95,95,0.42319968342781067,1,0,0.4732494652271271,6
96,96,0.7486473917961121,1,1,0.8096258044242859,6
97,97,0.35809215903282166,1,1,0.36512359976768494,0
98,98,0.9804611802101135,1,1,0.9859519004821777,0
99,99,0.922636866569519,1,1,0.9514880776405334,7
100,100,0.3890214264392853,1,0,0.3736264109611511,4
101,101,0.3630051016807556,1,0,0.4405216872692108,5
102,102,0.6615129113197327,1,1,0.7782909870147705,6
103,103,0.7759164571762085,1,1,0.817388117313385,3
104,104,0.9663519859313965,1,1,0.975531816482544,1
105,105,0.9752302765846252,1,1,0.9814304709434509,1
106,106,0.3256145417690277,0,0,0.32573461532592773,0
107,107,0.6695289015769958,1,1,0.7379266619682312,6
108,108,0.811827540397644,1,1,0.8807069659233093,8
109,109,0.8248547911643982,1,1,0.8722553849220276,7
