,sample_idx,resnet50_cifar10_trades1_255_adv_conf1_255,resnet50_cifar10_trades1_255_is_acc,resnet50_cifar10_trades1_255_is_rob1_255,resnet50_cifar10_trades1_255_nat_conf,resnet50_cifar10_trades1_255_pred
0,0,0.9757349491119385,1,1,0.9891110062599182,3
1,1,0.9892244935035706,1,1,0.9959826469421387,8
2,2,0.7758060693740845,1,1,0.9475986957550049,8
3,3,0.9996792078018188,1,1,0.999843955039978,0
4,4,0.9666746258735657,1,1,0.9886921644210815,6
5,5,0.9810007214546204,1,1,0.9935150146484375,6
6,6,0.9963330030441284,1,1,0.9978827834129333,1
7,7,0.5650494694709778,1,1,0.8370633125305176,6
8,8,0.9349805116653442,1,1,0.981669008731842,3
9,9,0.9777916073799133,1,1,0.9958618879318237,1
10,10,0.8776036500930786,1,1,0.9841655492782593,0
11,11,0.9999387264251709,1,1,0.9999629259109497,9
12,12,0.5467995405197144,0,0,0.41571593284606934,4
13,13,0.9998359680175781,1,1,0.9998713731765747,7
14,14,0.9999445676803589,1,1,0.999963641166687,9
15,15,0.9963347911834717,1,1,0.9987462759017944,8
16,16,0.894465446472168,1,1,0.948908269405365,5
17,17,0.9691724181175232,1,1,0.9940664768218994,7
18,18,0.9626665711402893,1,1,0.9940546154975891,8
19,19,0.9991990923881531,1,1,0.9994813799858093,6
20,20,0.8786939382553101,1,1,0.9693277478218079,7
21,21,0.9762375354766846,1,1,0.9828223586082458,0
22,22,0.7472349405288696,1,0,0.6458241939544678,4
23,23,0.9999681711196899,1,1,0.9999780654907227,9
24,24,0.5717180371284485,1,0,0.6431201100349426,5
25,25,0.9448767304420471,1,1,0.979573130607605,2
26,26,0.9200543165206909,1,1,0.9774163961410522,4
27,27,0.9983389377593994,1,1,0.9992786049842834,0
28,28,0.9533261060714722,1,1,0.9840037226676941,9
29,29,0.9987310767173767,1,1,0.9993003606796265,6
30,30,0.6705548167228699,1,1,0.879149854183197,6
31,31,0.986528754234314,1,1,0.9936046004295349,5
32,32,0.6355921626091003,1,1,0.850372314453125,4
33,33,0.928943395614624,1,1,0.9641908407211304,5
34,34,0.999886155128479,1,1,0.9999372959136963,9
35,35,0.6220737099647522,0,1,0.7827634215354919,3
36,36,0.7790201902389526,1,1,0.8876457214355469,4
37,37,0.8469755053520203,0,0,0.5651381015777588,9
38,38,0.9998157620429993,1,1,0.9998725652694702,9
39,39,0.9976277947425842,1,1,0.9989359974861145,5
40,40,0.986861526966095,1,1,0.9971193075180054,4
41,41,0.9989380240440369,1,1,0.9995238780975342,6
42,42,0.9994088411331177,1,1,0.9996321201324463,5
43,43,0.9945605397224426,1,1,0.9970327615737915,6
44,44,0.9997808337211609,1,1,0.9998878240585327,0
45,45,0.9998477697372437,1,1,0.9999090433120728,9
46,46,0.9364033341407776,1,1,0.9663625955581665,3
47,47,0.46104779839515686,1,1,0.7414577007293701,9
48,48,0.9941369295120239,1,1,0.9965988993644714,7
49,49,0.8892017006874084,1,1,0.9703450798988342,6
50,50,0.9995336532592773,1,1,0.9997077584266663,9
51,51,0.9949051141738892,1,1,0.9985299110412598,8
52,52,0.6490536332130432,0,1,0.7952257394790649,3
53,53,0.6434891223907471,1,0,0.6977016925811768,3
54,54,0.9997268319129944,1,1,0.9998414516448975,8
55,55,0.9872905611991882,1,1,0.9972147345542908,8
56,56,0.9817909002304077,1,1,0.9926002621650696,7
57,57,0.5795837044715881,1,0,0.5494716167449951,7
58,58,0.6326024532318115,0,0,0.5275659561157227,5
59,59,0.5324897170066833,0,0,0.5277446508407593,3
60,60,0.9978054165840149,1,1,0.9986358284950256,7
61,61,0.4928269684314728,1,0,0.7468365430831909,3
62,62,0.9991798996925354,1,1,0.9995543360710144,6
63,63,0.795181393623352,0,1,0.922999918460846,9
64,64,0.8329281806945801,1,1,0.966846764087677,6
65,65,0.8862930536270142,1,1,0.9487396478652954,2
66,66,0.9868228435516357,1,1,0.9954690933227539,1
67,67,0.9941773414611816,1,1,0.9968774318695068,2
