,sample_idx,cifar_resnet50_cifar10_trades4_255_adv_conf4_255,cifar_resnet50_cifar10_trades4_255_is_acc,cifar_resnet50_cifar10_trades4_255_is_rob4_255,cifar_resnet50_cifar10_trades4_255_nat_conf,cifar_resnet50_cifar10_trades4_255_pred
0,0,0.5407805442810059,1,1,0.6365076899528503,3
1,1,0.8528088331222534,1,1,0.9172837734222412,8
2,2,0.43887218832969666,1,1,0.7382867932319641,8
3,3,0.9408034086227417,1,1,0.966829240322113,0
4,4,0.5293728709220886,1,1,0.674281656742096,6
5,5,0.5052148103713989,1,1,0.6428394913673401,6
6,6,0.7235600352287292,1,1,0.8433089256286621,1
7,7,0.4619041085243225,1,0,0.27572232484817505,6
8,8,0.38227880001068115,1,1,0.5376970767974854,3
9,9,0.5836006999015808,1,0,0.5726385712623596,1
10,10,0.5670386552810669,1,1,0.7760526537895203,0
11,11,0.9595715403556824,1,1,0.9727935791015625,9
12,12,0.3848242461681366,0,0,0.33467426896095276,4
13,13,0.9870991110801697,1,1,0.9903648495674133,7
14,14,0.9176623821258545,1,1,0.9423733353614807,9
15,15,0.47958987951278687,1,1,0.7845929861068726,8
16,16,0.4355558156967163,1,1,0.5504684448242188,5
17,17,0.666628897190094,1,1,0.7370168566703796,7
18,18,0.6384584307670593,1,1,0.8018418550491333,8
19,19,0.8869150876998901,1,1,0.9229004979133606,6
20,20,0.4058232307434082,1,1,0.7067268490791321,7
21,21,0.8681381344795227,1,1,0.8977552652359009,0
22,22,0.5762245059013367,0,0,0.4781323969364166,0
23,23,0.9820806980133057,1,1,0.9869962930679321,9
24,24,0.4331105351448059,0,1,0.5897398591041565,4
25,25,0.6166499257087708,1,1,0.6907728910446167,2
26,26,0.33385705947875977,1,0,0.41635358333587646,4
27,27,0.44474831223487854,1,0,0.5967282652854919,0
28,28,0.7290446758270264,1,1,0.8469735383987427,9
29,29,0.8317446708679199,1,1,0.869065523147583,6
30,30,0.4645838141441345,1,0,0.52659672498703,6
31,31,0.5045333504676819,1,1,0.6278166174888611,5
32,32,0.4178285300731659,1,0,0.48892873525619507,4
33,33,0.5137881636619568,1,0,0.4676509201526642,5
34,34,0.9614608883857727,1,1,0.9773507118225098,9
35,35,0.45383429527282715,0,1,0.5911638140678406,3
36,36,0.369376003742218,1,0,0.45344993472099304,4
37,37,0.5553858280181885,0,0,0.6911080479621887,9
38,38,0.9140205383300781,1,1,0.9466309547424316,9
39,39,0.8677845597267151,1,1,0.9111500978469849,5
40,40,0.8676786422729492,1,1,0.93178790807724,4
41,41,0.83302241563797,1,1,0.8825290203094482,6
42,42,0.8030490875244141,1,1,0.8659542798995972,5
43,43,0.565364420413971,1,1,0.687239408493042,6
44,44,0.573714554309845,1,0,0.6790701746940613,0
45,45,0.9654733538627625,1,1,0.9736972451210022,9
46,46,0.5445945262908936,1,1,0.6423185467720032,3
47,47,0.5021671056747437,0,0,0.23705744743347168,3
48,48,0.5576484203338623,0,0,0.5214502215385437,4
49,49,0.516135036945343,1,0,0.4870602786540985,6
50,50,0.8312343955039978,1,1,0.9238128662109375,9
51,51,0.524687647819519,1,1,0.735995888710022,8
52,52,0.26205453276634216,0,0,0.3071085512638092,2
53,53,0.5024834871292114,0,0,0.3254520893096924,5
54,54,0.9451934695243835,1,1,0.968461811542511,8
55,55,0.5773548483848572,1,0,0.7270888686180115,8
56,56,0.45729413628578186,0,0,0.3516372740268707,5
57,57,0.3545513451099396,0,0,0.2778146266937256,5
58,58,0.2847072184085846,0,0,0.3619006276130676,3
59,59,0.33106210827827454,0,0,0.3582824170589447,3
60,60,0.7008832097053528,1,1,0.7841466665267944,7
61,61,0.41557586193084717,1,0,0.3536376953125,3
62,62,0.8312460780143738,1,1,0.8853563666343689,6
63,63,0.7010443806648254,0,1,0.8335431814193726,9
64,64,0.4658920466899872,1,1,0.6167915463447571,6
65,65,0.47737210988998413,0,0,0.3530881702899933,6
66,66,0.3523221015930176,1,1,0.4287199079990387,1
67,67,0.9514070153236389,1,1,0.9682586789131165,2
68,68,0.4312257170677185,1,1,0.5863301753997803,3
69,69,0.8340902924537659,1,0,0.5948227643966675,7
70,70,0.5060447454452515,1,0,0.39944222569465637,2
71,71,0.4736601412296295,1,1,0.6661650538444519,6
72,72,0.8752464652061462,1,1,0.9173641204833984,8
73,73,0.9228853583335876,1,1,0.9473463296890259,8
74,74,0.7060930132865906,1,0,0.5377826690673828,0
75,75,0.7300897240638733,1,1,0.7987710237503052,2
76,76,0.6370220184326172,1,1,0.8224250674247742,9
77,77,0.5164898037910461,1,0,0.6455665230751038,3
78,78,0.5878547430038452,1,1,0.648216724395752,3
79,79,0.9804516434669495,1,1,0.9868944883346558,8
80,80,0.7257692813873291,1,1,0.8739623427391052,8
81,81,0.7498746514320374,1,1,0.8805770874023438,1
82,82,0.9816243052482605,1,1,0.9849927425384521,1
83,83,0.9354691505432129,1,1,0.9653100371360779,7
84,84,0.8399650454521179,1,1,0.917831301689148,2
85,85,0.67094486951828,0,1,0.8201584815979004,7
86,86,0.4033101201057434,1,0,0.6343943476676941,2
87,87,0.4610690772533417,0,0,0.4596976637840271,8
88,88,0.8934300541877747,1,1,0.9293693900108337,8
89,89,0.918308436870575,1,1,0.9468222856521606,9
90,90,0.9144819378852844,1,1,0.9476609826087952,0
91,91,0.36035972833633423,1,0,0.2984713912010193,3
92,92,0.9836837649345398,1,1,0.9889827370643616,8
93,93,0.7064849734306335,1,1,0.7604232430458069,6
94,94,0.39486971497535706,1,1,0.5484061241149902,4
95,95,0.40061837434768677,1,0,0.4938375949859619,6
96,96,0.7614908218383789,1,1,0.8260670304298401,6
97,97,0.5189554691314697,1,1,0.5834424495697021,0
98,98,0.9808459877967834,1,1,0.9874272346496582,0
99,99,0.9686024785041809,1,1,0.9801483154296875,7
100,100,0.41445520520210266,1,0,0.4595508575439453,4
101,101,0.35676178336143494,1,1,0.5354973077774048,5
102,102,0.795074462890625,1,1,0.8590620756149292,6
103,103,0.8076045513153076,1,1,0.8420393466949463,3
104,104,0.9774987697601318,1,1,0.9833710193634033,1
105,105,0.9904008507728577,1,1,0.9928963780403137,1
106,106,0.4233250319957733,0,0,0.24625565111637115,0
107,107,0.7804682850837708,1,1,0.8416143655776978,6
108,108,0.5777975916862488,1,1,0.8644933700561523,8
109,109,0.890571117401123,1,1,0.9196548461914062,7
110,110,0.31687238812446594,1,0,0.39509057998657227,4
111,111,0.846937894821167,1,1,0.916596531867981,0
112,112,0.4853416383266449,0,0,0.5655268430709839,2
113,113,0.5867557525634766,1,1,0.7095108032226562,2
114,114,0.7589104771614075,1,1,0.9229688048362732,1
115,115,0.754917562007904,1,1,0.8353468179702759,3
116,116,0.7229903340339661,1,1,0.8477077484130859,0
117,117,0.5452684164047241,1,1,0.6641878485679626,4
118,118,0.48072031140327454,0,1,0.5877698063850403,3
119,119,0.5571027398109436,0,0,0.45914483070373535,5
120,120,0.7143885493278503,1,1,0.8435195684432983,8
121,121,0.5147920846939087,0,1,0.6989390850067139,4
122,122,0.9464054703712463,1,1,0.9634649753570557,1
123,123,0.9258500337600708,1,1,0.9508960247039795,2
124,124,0.8099780082702637,1,1,0.903576672077179,8
125,125,0.3428279161453247,0,1,0.34659484028816223,2
126,126,0.43513864278793335,1,0,0.4189150035381317,8
127,127,0.5742583274841309,1,1,0.6786898970603943,3
128,128,0.524084746837616,0,0,0.5105604529380798,3
129,129,0.4326435625553131,1,1,0.6875042915344238,2
130,130,0.5716856122016907,1,1,0.7208602428436279,4
131,131,0.9970533847808838,1,1,0.9980294108390808,1
132,132,0.5818061828613281,1,1,0.8063462376594543,8
133,133,0.9935094714164734,1,1,0.9955768585205078,9
134,134,0.856016993522644,1,1,0.9181050062179565,1
135,135,0.4477604329586029,1,1,0.5836004614830017,2
136,136,0.9404590725898743,1,1,0.957608699798584,9
137,137,0.8783664107322693,1,1,0.9306302666664124,7
138,138,0.5175737142562866,1,1,0.6182989478111267,2
139,139,0.6476619243621826,0,1,0.8576251864433289,8
140,140,0.35692742466926575,1,1,0.5458642840385437,6
141,141,0.924321711063385,1,1,0.9478514790534973,5
142,142,0.587401270866394,1,1,0.8210213780403137,6
143,143,0.45742931962013245,1,0,0.4941551089286804,3
144,144,0.6938539147377014,1,1,0.8435851335525513,8
145,145,0.6961514949798584,1,1,0.8287023901939392,7
146,146,0.8131382465362549,1,1,0.8614010810852051,6
147,147,0.567798376083374,0,0,0.5513715147972107,5
148,148,0.6390376687049866,1,1,0.8117554783821106,5
149,149,0.6921489238739014,1,1,0.8260693550109863,2
150,150,0.8460379242897034,1,1,0.9002622961997986,8
151,151,0.8804622888565063,1,1,0.9248652458190918,9
152,152,0.4681411385536194,1,1,0.5938708782196045,6
153,153,0.7982946038246155,1,1,0.8942850828170776,0
154,154,0.8929868936538696,1,1,0.951486349105835,0
155,155,0.5177547335624695,1,1,0.677180826663971,5
156,156,0.727550745010376,1,1,0.8444911241531372,2
157,157,0.9669117331504822,1,1,0.9772775173187256,9
158,158,0.4663817882537842,0,0,0.36415261030197144,3
159,159,0.8697817921638489,1,1,0.9075585603713989,4
160,160,0.9776667952537537,1,1,0.9871193170547485,2
161,161,0.9037031531333923,1,1,0.9508018493652344,1
162,162,0.4378547668457031,0,0,0.29548388719558716,3
163,163,0.48470279574394226,1,1,0.6259325742721558,6
164,164,0.4943850636482239,0,0,0.5364355444908142,0
165,165,0.49375998973846436,0,0,0.4421951472759247,2
166,166,0.8491854667663574,1,1,0.909375786781311,8
167,167,0.5713985562324524,0,0,0.4303944706916809,6
168,168,0.384530633687973,1,0,0.27489152550697327,5
169,169,0.5925135016441345,1,1,0.7707409858703613,0
170,170,0.9231824278831482,1,1,0.9618168473243713,9
171,171,0.5763468742370605,1,1,0.7825416922569275,9
172,172,0.4764125943183899,1,0,0.3821848928928375,9
173,173,0.457318514585495,1,0,0.4890187978744507,8
174,174,0.9298597574234009,1,1,0.9494908452033997,9
175,175,0.9879383444786072,1,1,0.9905123114585876,9
176,176,0.5048584342002869,1,1,0.7329341769218445,3
177,177,0.47678127884864807,1,1,0.5517807006835938,7
178,178,0.40199345350265503,1,0,0.3845216631889343,5
179,179,0.9373841881752014,1,1,0.9574108719825745,0
180,180,0.9825118780136108,1,1,0.9869803786277771,0
181,181,0.5565195083618164,1,1,0.7469010949134827,5
182,182,0.7090710401535034,1,1,0.7763968706130981,2
183,183,0.3693351149559021,1,0,0.4437582492828369,2
184,184,0.6920182108879089,1,0,0.42746502161026,3
185,185,0.9316093921661377,1,1,0.9499536156654358,8
186,186,0.4918021857738495,1,1,0.6469903588294983,6
187,187,0.41551655530929565,1,0,0.40436995029449463,3
188,188,0.7652934193611145,0,1,0.8388103246688843,3
189,189,0.6776953935623169,0,0,0.5727673768997192,8
190,190,0.7699374556541443,1,1,0.8657384514808655,5
191,191,0.49332308769226074,1,0,0.4351072311401367,8
192,192,0.48758944869041443,1,0,0.5208090543746948,0
193,193,0.9495607614517212,1,1,0.9728018045425415,1
194,194,0.5372484922409058,1,1,0.6579171419143677,7
195,195,0.33992496132850647,1,0,0.43517327308654785,2
196,196,0.8945525884628296,1,1,0.9289228320121765,8
197,197,0.699752151966095,1,1,0.8536523580551147,8
198,198,0.9576984643936157,1,1,0.9661467671394348,7
199,199,0.378918319940567,1,0,0.5700962543487549,8
200,200,0.4877702295780182,1,0,0.5624603033065796,5
201,201,0.4581209123134613,1,0,0.6304484009742737,1
202,202,0.9616559743881226,1,1,0.9728626012802124,8
203,203,0.8794929385185242,1,1,0.9381465315818787,7
204,204,0.9409160614013672,1,1,0.9570412039756775,1
205,205,0.6774459481239319,1,1,0.7341614365577698,3
206,206,0.6468311548233032,1,1,0.7908006906509399,0
207,207,0.5832403898239136,1,1,0.7069939970970154,5
208,208,0.9136830568313599,1,1,0.9390688538551331,7
209,209,0.9038837552070618,1,1,0.9438344240188599,9
210,210,0.38735106587409973,0,0,0.28264766931533813,2
211,211,0.5991906523704529,1,1,0.7850298285484314,4
212,212,0.7903755307197571,1,1,0.8908513188362122,5
213,213,0.7428727746009827,1,0,0.3836836814880371,9
214,214,0.6837954521179199,1,1,0.7949762940406799,8
215,215,0.8967286944389343,1,1,0.9649593830108643,0
216,216,0.9825931787490845,1,1,0.9854483008384705,7
217,217,0.8711138963699341,1,1,0.9521945118904114,9
218,218,0.8237522840499878,0,1,0.9235275983810425,0
219,219,0.619199812412262,1,1,0.7052391171455383,2
220,220,0.8449031114578247,1,1,0.9243708252906799,7
221,221,0.41506966948509216,1,0,0.4538242816925049,6
222,222,0.9629663825035095,1,1,0.9732882380485535,9
223,223,0.4306893050670624,1,1,0.6662392020225525,4
224,224,0.3984307050704956,1,0,0.460684210062027,3
225,225,0.7739065289497375,1,1,0.9411178827285767,9
226,226,0.38244423270225525,0,0,0.32700055837631226,4
227,227,0.4412665069103241,1,1,0.6058973073959351,4
228,228,0.5341346263885498,1,0,0.6395206451416016,7
229,229,0.4655320346355438,0,0,0.2777442932128906,3
230,230,0.9586806297302246,1,1,0.974277138710022,5
