,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_adv_conf1_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_adv_conf2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_adv_conf4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_rob1_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_rob2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_rob4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_pred
0,0,0.13729631900787356,0.16330698132514954,0.22050729393959045,0,0,0,0,0.1380520761013031,30
1,1,0.10176295042037964,0.1153714433312416,0.145809143781662,1,0,0,0,0.09171216189861298,33
2,2,0.1272718459367752,0.1285233348608017,0.13345646858215332,1,1,1,0,0.12536084651947021,72
3,3,0.16479671001434326,0.15107150375843048,0.19155383110046387,1,1,1,0,0.17806077003479004,51
4,4,0.7385426759719849,0.7237067818641663,0.6876615881919861,1,1,1,1,0.7512654066085815,71
5,5,0.11681757122278215,0.1384565532207489,0.1861792355775833,0,0,0,0,0.12628324329853058,43
6,6,0.11090274155139923,0.10893362015485764,0.1101946234703064,0,1,1,0,0.11258191615343094,38
7,7,0.1879645138978958,0.18390330672264102,0.18463070690631866,0,1,1,0,0.19191984832286835,4
8,8,0.42313888669013977,0.4147353768348694,0.45091456174850464,1,1,0,0,0.4482550024986267,23
9,9,0.421336442232132,0.4009756445884705,0.3593301475048065,0,1,1,1,0.4423234760761261,57
10,10,0.14075967669487,0.1218920648097992,0.15898847579956055,0,1,1,0,0.1621248722076416,87
11,11,0.3692880868911743,0.3297689259052277,0.2514011561870575,1,1,1,1,0.408881813287735,75
12,12,0.3423004150390625,0.3568996489048004,0.38630756735801697,1,0,0,0,0.3281187415122986,81
13,13,0.8478878140449524,0.8444547057151794,0.8351929783821106,1,1,1,1,0.8511219620704651,69
14,14,0.8640407919883728,0.8615634441375732,0.8562961220741272,1,1,1,1,0.8664025068283081,40
15,15,0.10712514072656633,0.10352950543165207,0.11270182579755783,1,1,1,0,0.11093227565288544,43
16,16,0.8958545327186584,0.8877742290496826,0.8666223287582397,1,1,1,1,0.9029229283332825,92
17,17,0.3921662867069245,0.3796792030334473,0.35336431860923767,1,1,1,1,0.405154287815094,97
18,18,0.7698598504066467,0.7639594674110413,0.7518628239631653,1,1,1,1,0.7752197980880737,70
19,19,0.5218048095703125,0.4917597472667694,0.4312572777271271,1,1,1,1,0.5515283942222595,53
20,20,0.8451321125030518,0.8427364826202393,0.8370882868766785,1,1,1,1,0.847270667552948,70
21,21,0.7960115671157837,0.7766104936599731,0.726028561592102,1,1,1,1,0.812537431716919,49
22,22,0.9211713075637816,0.9189035296440125,0.91407710313797,1,1,1,1,0.9230354428291321,75
23,23,0.1296474188566208,0.1614905297756195,0.2360488325357437,0,0,0,0,0.11960600316524506,17
