,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades2_255_adv_conf2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades2_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades2_255_is_rob2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades2_255_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_autoaugment_trades2_255_pred
0,0,0.6584655046463013,0,1,0.9829270243644714,68
1,1,0.9681309461593628,1,0,0.9749733209609985,33
2,2,0.9460268020629883,1,0,0.6871174573898315,72
3,3,0.810584306716919,1,1,0.9954860806465149,51
4,4,0.9890455007553101,1,1,0.997636079788208,71
5,5,0.9843629002571106,0,0,0.8157054781913757,6
6,6,0.9807244539260864,1,0,0.6087819337844849,15
7,7,0.8060795068740845,1,0,0.8309609293937683,14
8,8,0.9550598859786987,0,0,0.49847450852394104,71
9,9,0.9312391877174377,1,0,0.36496230959892273,0
10,10,0.9144771099090576,1,0,0.33213937282562256,71
11,11,0.9903890490531921,0,0,0.6630370616912842,55
12,12,0.943417489528656,1,1,0.9970014691352844,81
13,13,0.8572625517845154,1,1,0.991672694683075,69
14,14,0.9790489673614502,1,1,0.989697277545929,40
15,15,0.9916523098945618,1,1,0.9996565580368042,43
16,16,0.9998488426208496,1,1,0.9999798536300659,92
17,17,0.9258652925491333,1,1,0.9984143972396851,97
18,18,0.9965697526931763,1,1,0.9982708692550659,70
19,19,0.9979109168052673,1,1,0.9995139837265015,53
20,20,0.9939676523208618,1,1,0.9972643852233887,70
21,21,0.803179919719696,1,1,0.9972856044769287,49
22,22,0.4799233376979828,1,0,0.8555229902267456,75
23,23,0.9933288097381592,0,0,0.6407662630081177,96
24,24,0.9904868006706238,1,1,0.9992715716362,21
25,25,0.9961362481117249,1,1,0.9985982775688171,16
26,26,0.9997561573982239,1,1,0.9998745918273926,39
27,27,0.9957787990570068,1,1,0.9988565444946289,8
28,28,0.9136771559715271,1,1,0.975695788860321,8
29,29,0.41210442781448364,0,0,0.14826002717018127,92
30,30,0.9976522326469421,1,1,0.9983395338058472,20
31,31,0.9696632027626038,1,0,0.5076279044151306,61
32,32,0.999010443687439,1,1,0.9998427629470825,41
33,33,0.9827063083648682,1,0,0.7542130351066589,93
34,34,0.9920338988304138,1,0,0.9750516414642334,56
35,35,0.9956836700439453,1,0,0.6142168641090393,73
36,36,0.9811736345291138,1,1,0.9952959418296814,58
37,37,0.9318303465843201,1,0,0.7758504152297974,11
38,38,0.9329965114593506,1,1,0.9976634979248047,25
