,sample_idx,resnet50_mtsd_l_trades8_255_adv_conf1_255,resnet50_mtsd_l_trades8_255_adv_conf2_255,resnet50_mtsd_l_trades8_255_adv_conf4_255,resnet50_mtsd_l_trades8_255_is_acc,resnet50_mtsd_l_trades8_255_is_rob1_255,resnet50_mtsd_l_trades8_255_is_rob2_255,resnet50_mtsd_l_trades8_255_is_rob4_255,resnet50_mtsd_l_trades8_255_nat_conf,resnet50_mtsd_l_trades8_255_pred
0,0,0.27173227071762085,0.28215035796165466,0.37135374546051025,0,1,0,0,0.3086256980895996,14
1,1,0.9135244488716124,0.9084289073944092,0.8945514559745789,1,1,1,1,0.9177224040031433,1
2,2,0.4648848474025726,0.426929771900177,0.4414098858833313,0,1,1,0,0.5018296837806702,17
3,3,0.9178817868232728,0.9112821221351624,0.8934624195098877,1,1,1,1,0.9224386215209961,1
4,4,0.3622738420963288,0.3443652391433716,0.2985520362854004,1,1,1,1,0.37942424416542053,1
5,5,0.4430796802043915,0.43726500868797297,0.4187481701374054,1,1,1,1,0.44657719135284424,1
6,6,0.4001154005527496,0.3848787844181061,0.3519554138183594,1,1,1,1,0.41436752676963806,1
7,7,0.7201351523399353,0.7125683426856995,0.6938575506210327,1,1,1,1,0.7272748351097107,1
8,8,0.6591321229934692,0.6309636235237122,0.5434569716453552,1,1,1,1,0.6772370934486389,1
9,9,0.15182937681674954,0.12297429889440535,0.07925495505332947,1,1,1,1,0.17928700149059296,1
10,10,0.9363345503807068,0.9346670508384703,0.9307749271392822,1,1,1,1,0.9376749396324158,1
11,11,0.639181911945343,0.6082630753517151,0.5256818532943726,1,1,1,1,0.6644554734230042,1
12,12,0.298285573720932,0.28547152876853943,0.24504077434539795,1,1,1,1,0.3058950901031494,1
13,13,0.6837771534919739,0.6637584567070007,0.6082340478897095,1,1,1,1,0.7002596855163574,1
14,14,0.2958868145942688,0.28136155009269714,0.24168084561824799,1,1,1,1,0.3063853085041046,1
15,15,0.8427935242652893,0.8390434384346008,0.8305685520172119,1,1,1,1,0.8465100526809692,1
16,16,0.8286348581314087,0.8144558668136597,0.7803822159767151,1,1,1,1,0.8403640389442444,2
17,17,0.3200552463531494,0.3121450841426849,0.4037890136241913,1,1,0,0,0.35281315445899963,2
18,18,0.11966639012098312,0.14323784410953522,0.18877363204956055,0,0,0,0,0.11098170280456543,19
19,19,0.08585990965366364,0.10478509217500688,0.15065737068653107,0,0,0,0,0.07100393623113632,264
20,20,0.9942041039466858,0.9941138625144958,0.9939112663269043,1,1,1,1,0.9943089485168457,3
21,21,0.7068768739700317,0.7019025087356567,0.690843939781189,1,1,1,1,0.7119045853614807,3
22,22,0.6218276023864746,0.6066685914993286,0.5756550431251526,1,1,1,1,0.6367532014846802,3
23,23,0.9844834208488464,0.9838345050811768,0.9823978543281555,1,1,1,1,0.9850756525993347,3
24,24,0.9769856929779052,0.974696695804596,0.9688429236412048,1,1,1,1,0.9789233803749084,3
25,25,0.3394378125667572,0.3170586824417114,0.25222814083099365,1,1,1,1,0.3541879951953888,3
