,sample_idx,label,base_prediction,prediction,linf_radius,l2_radius
0,6659,1,1,1,0.00412602276164876,0.22868739380356168
1,4529,4,4,4,0.00399415802484245,0.2213787082395545
2,5519,6,6,6,0.00412602276164876,0.22868739380356168
3,2523,4,4,4,0.00412602276164876,0.22868739380356168
4,8484,3,3,3,0.00412602276164876,0.22868739380356168
5,9523,5,5,5,0.00412602276164876,0.22868739380356168
6,6509,9,9,9,0.00412602276164876,0.22868739380356168
7,3298,3,9,9,0.002888419322552321,0.1600924486471775
8,786,3,3,3,0.00412602276164876,0.22868739380356168
9,3876,7,7,7,0.00412602276164876,0.22868739380356168
10,4263,6,6,6,0.00412602276164876,0.22868739380356168
11,63,3,3,3,0.0007960282449762269,0.04412036366587871
12,9148,3,3,3,0.00412602276164876,0.22868739380356168
13,8116,9,9,9,0.00412602276164876,0.22868739380356168
14,1438,5,5,5,0.00412602276164876,0.22868739380356168
15,1861,3,3,3,0.00412602276164876,0.22868739380356168
16,9700,0,0,0,0.00412602276164876,0.22868739380356168
17,5028,9,9,9,0.00412602276164876,0.22868739380356168
18,4567,4,4,4,0.00412602276164876,0.22868739380356168
19,5700,3,5,5,0.00412602276164876,0.22868739380356168
20,5749,5,3,3,0.003887659058104511,0.21547593635655612
21,7072,8,8,8,0.00412602276164876,0.22868739380356168
22,9224,6,6,6,0.00412602276164876,0.22868739380356168
23,48,7,7,7,0.00412602276164876,0.22868739380356168
24,7731,1,1,1,0.00412602276164876,0.22868739380356168
25,5788,0,0,0,0.00412602276164876,0.22868739380356168
26,330,1,1,1,0.00412602276164876,0.22868739380356168
27,4153,0,0,0,0.00412602276164876,0.22868739380356168
28,1827,4,4,4,0.00412602276164876,0.22868739380356168
29,7334,5,5,5,0.00412602276164876,0.22868739380356168
30,6159,1,1,1,0.00412602276164876,0.22868739380356168
31,844,1,1,1,0.00412602276164876,0.22868739380356168
32,395,6,6,6,0.00412602276164876,0.22868739380356168
33,8768,2,2,2,0.00412602276164876,0.22868739380356168
34,8669,4,4,4,0.00412602276164876,0.22868739380356168
35,4678,9,9,9,0.001112107322950342,0.06163924437822087
36,2892,0,0,0,0.00412602276164876,0.22868739380356168
37,2215,0,0,0,0.00412602276164876,0.22868739380356168
38,4760,3,3,2,0.0007218554620542716,0.04000929075197139
39,4367,0,0,0,0.0006661992775724764,0.036924511895078733
40,9896,4,4,4,0.00412602276164876,0.22868739380356168
41,9291,8,8,8,0.00412602276164876,0.22868739380356168
42,4566,8,8,8,0.00412602276164876,0.22868739380356168
43,9399,7,7,7,0.00412602276164876,0.22868739380356168
44,7767,9,9,9,0.00412602276164876,0.22868739380356168
45,5684,7,7,7,0.0023667930142152087,0.13118098405183454
46,8140,5,5,7,0.00087068263352936,0.04825812987330319
47,3629,1,1,1,0.00412602276164876,0.22868739380356168
48,2923,3,3,3,0.00412602276164876,0.22868739380356168
49,1508,8,8,8,0.00412602276164876,0.22868739380356168
50,4792,0,0,0,0.001043465392048675,0.05783472239897864
51,7000,2,8,8,0.0016758813570847107,0.09288677305370237
52,9917,2,2,2,0.00412602276164876,0.22868739380356168
53,7615,5,5,5,0.00412602276164876,0.22868739380356168
54,9924,4,2,2,0.0013701525567347025,0.0759415629563169
55,987,1,1,1,0.00412602276164876,0.22868739380356168
56,3684,9,9,9,0.00412602276164876,0.22868739380356168
57,1900,8,8,8,0.00412602276164876,0.22868739380356168
58,8194,1,1,1,0.00412602276164876,0.22868739380356168
59,3692,4,4,4,0.00412602276164876,0.22868739380356168
60,1077,0,0,0,0.00412602276164876,0.22868739380356168
61,4691,2,2,2,0.00412602276164876,0.22868739380356168
62,3497,0,1,1,0.0006350646660580714,0.03519885656653894
63,6014,5,4,4,0.0019120333502462032,0.10597564506856198
64,2509,2,2,2,0.00412602276164876,0.22868739380356168
65,617,6,6,6,0.00412602276164876,0.22868739380356168
66,666,9,9,9,0.00412602276164876,0.22868739380356168
67,389,5,5,5,0.00412602276164876,0.22868739380356168
68,6946,6,6,6,0.00412602276164876,0.22868739380356168
69,1916,9,9,9,0.00412602276164876,0.22868739380356168
70,779,5,5,5,0.0017683821013356662,0.09801368469468123
71,1984,7,7,7,0.00412602276164876,0.22868739380356168
72,265,8,8,8,0.00412602276164876,0.22868739380356168
73,7556,2,2,2,0.003338089852083086,0.18501571916921547
74,2021,8,8,8,0.00412602276164876,0.22868739380356168
75,736,1,1,1,0.00412602276164876,0.22868739380356168
76,8516,8,8,8,0.00412602276164876,0.22868739380356168
77,2168,5,5,5,0.00412602276164876,0.22868739380356168
78,4761,9,9,9,0.00412602276164876,0.22868739380356168
79,7379,7,7,7,0.00399415802484245,0.2213787082395545
80,3565,1,1,1,0.00412602276164876,0.22868739380356168
81,6442,6,6,6,0.00412602276164876,0.22868739380356168
82,3950,8,8,8,0.00412602276164876,0.22868739380356168
83,1751,1,1,1,0.00412602276164876,0.22868739380356168
84,7654,4,4,4,0.00412602276164876,0.22868739380356168
85,812,7,7,7,0.00412602276164876,0.22868739380356168
86,8513,9,9,9,0.00412602276164876,0.22868739380356168
87,8761,0,0,0,0.00412602276164876,0.22868739380356168
88,6219,7,7,7,0.00412602276164876,0.22868739380356168
89,486,9,9,9,0.00412602276164876,0.22868739380356168
90,3524,5,5,5,0.0018280372645264156,0.10132010944924734
91,4954,1,1,1,0.00412602276164876,0.22868739380356168
92,9193,0,0,0,0.00412602276164876,0.22868739380356168
93,8830,9,9,9,0.00412602276164876,0.22868739380356168
94,7312,2,2,2,0.00412602276164876,0.22868739380356168
95,7745,7,7,7,0.00412602276164876,0.22868739380356168
96,166,8,8,8,0.00412602276164876,0.22868739380356168
97,5403,7,7,7,0.00412602276164876,0.22868739380356168
98,2321,2,2,2,0.00412602276164876,0.22868739380356168
99,3003,2,2,2,0.00412602276164876,0.22868739380356168
100,1147,6,9,6,0.0006007626125544765,0.03329764378342942
101,9773,9,9,9,0.00412602276164876,0.22868739380356168
102,5316,4,4,4,0.00412602276164876,0.22868739380356168
103,799,2,2,2,0.00412602276164876,0.22868739380356168
104,493,1,1,1,0.00412602276164876,0.22868739380356168
105,2000,1,1,1,0.00412602276164876,0.22868739380356168
106,5292,4,4,4,0.0005412793573976101,0.03000074713922859
107,5745,5,5,5,0.00412602276164876,0.22868739380356168
108,7297,9,9,9,0.00412602276164876,0.22868739380356168
109,7146,0,0,0,0.0021770320901155216,0.1206633660732144
110,5191,3,3,3,0.001135732172325083,0.06294866644024369
111,9588,1,1,1,0.00412602276164876,0.22868739380356168
112,1653,9,9,9,0.00412602276164876,0.22868739380356168
113,9434,7,7,7,0.002568250921963711,0.1423469146696563
114,4448,4,4,4,0.00412602276164876,0.22868739380356168
115,5835,3,7,7,0.00026612337888890387,0.014750054826159495
116,9059,2,2,2,0.00412602276164876,0.22868739380356168
117,264,0,8,8,0.00399415802484245,0.2213787082395545
118,4563,7,7,7,0.00412602276164876,0.22868739380356168
119,8012,3,3,3,0.0027804633387622218,0.15410892068220042
120,8887,4,4,4,0.0014048462063256451,0.07786448019764503
121,1410,1,1,1,0.00412602276164876,0.22868739380356168
