,sample_idx,Gowal2020Uncovering_28_10_extra_mra1_255_is_acc,Gowal2020Uncovering_28_10_extra_mra1_255_is_rob1_255,Gowal2020Uncovering_28_10_extra_mra1_255_pred
0,0,1,1,3
1,1,1,1,8
2,2,1,1,8
3,3,1,1,0
4,4,1,1,6
5,5,1,1,6
6,6,1,1,1
7,7,1,1,6
8,8,1,1,3
9,9,1,1,1
10,10,1,1,0
11,11,1,1,9
12,12,1,1,5
13,13,1,1,7
14,14,1,1,9
15,15,1,1,8
16,16,1,1,5
17,17,1,1,7
18,18,1,1,8
19,19,1,1,6
20,20,1,1,7
21,21,1,1,0
22,22,1,1,4
23,23,1,1,9
24,24,1,1,5
25,25,1,1,2
26,26,1,1,4
27,27,1,1,0
28,28,1,1,9
29,29,1,1,6
30,30,1,1,6
31,31,1,1,5
32,32,1,1,4
33,33,1,1,5
34,34,1,1,9
35,35,0,0,8
36,36,1,0,4
37,37,1,1,1
38,38,1,1,9
39,39,1,1,5
40,40,1,1,4
41,41,1,1,6
42,42,1,1,5
43,43,1,1,6
44,44,1,1,0
45,45,1,1,9
46,46,1,1,3
47,47,1,1,9
48,48,1,1,7
49,49,1,1,6
50,50,1,1,9
51,51,1,1,8
52,52,1,1,0
53,53,1,1,3
54,54,1,1,8
55,55,1,1,8
56,56,1,1,7
57,57,1,1,7
58,58,1,0,4
59,59,0,1,3
60,60,1,1,7
61,61,1,0,3
62,62,1,1,6
63,63,0,0,9
64,64,1,1,6
65,65,1,1,2
66,66,1,1,1
67,67,1,1,2
68,68,1,1,3
69,69,1,1,7
70,70,1,1,2
71,71,1,1,6
72,72,1,1,8
73,73,1,1,8
74,74,1,1,0
75,75,1,1,2
76,76,1,1,9
77,77,1,1,3
78,78,1,1,3
79,79,1,1,8
80,80,1,1,8
81,81,1,1,1
82,82,1,1,1
83,83,1,1,7
84,84,1,1,2
85,85,0,1,7
86,86,1,1,2
87,87,1,1,7
88,88,1,1,8
89,89,1,1,9
90,90,1,1,0
91,91,1,1,3
92,92,1,1,8
93,93,1,1,6
94,94,1,1,4
95,95,1,1,6
96,96,1,1,6
97,97,1,1,0
98,98,1,1,0
99,99,1,1,7
100,100,1,1,4
101,101,1,1,5
102,102,1,1,6
103,103,1,1,3
104,104,1,1,1
105,105,1,1,1
106,106,1,1,3
107,107,1,1,6
108,108,1,1,8
109,109,1,1,7
110,110,1,1,4
111,111,1,1,0
112,112,1,1,6
113,113,1,1,2
114,114,1,1,1
115,115,1,1,3
116,116,1,1,0
117,117,1,1,4
118,118,1,1,2
119,119,1,1,7
120,120,1,1,8
121,121,1,0,3
122,122,1,1,1
123,123,1,1,2
124,124,1,1,8
125,125,0,0,2
126,126,1,1,8
127,127,1,1,3
128,128,0,0,3
129,129,1,1,2
130,130,1,1,4
131,131,1,1,1
132,132,1,1,8
133,133,1,1,9
134,134,1,1,1
135,135,1,1,2
136,136,1,1,9
137,137,1,1,7
138,138,1,1,2
139,139,1,1,9
140,140,1,1,6
141,141,1,1,5
142,142,1,1,6
143,143,1,1,3
144,144,1,1,8
145,145,1,1,7
146,146,1,1,6
147,147,0,1,5
148,148,1,1,5
149,149,1,1,2
150,150,1,1,8
151,151,1,1,9
152,152,1,1,6
153,153,1,1,0
154,154,1,1,0
155,155,1,1,5
156,156,1,1,2
157,157,1,1,9
158,158,1,1,5
159,159,1,1,4
160,160,1,1,2
161,161,1,1,1
162,162,0,0,3
163,163,1,1,6
164,164,0,1,0
165,165,0,1,2
166,166,1,1,8
167,167,1,1,4
168,168,1,1,5
169,169,1,0,0
170,170,1,1,9
171,171,1,1,9
172,172,1,1,9
173,173,1,1,8
174,174,1,1,9
175,175,1,1,9
176,176,1,1,3
177,177,1,1,7
178,178,1,1,5
179,179,1,1,0
180,180,1,1,0
181,181,1,1,5
182,182,1,1,2
183,183,1,1,2
184,184,1,1,3
185,185,1,1,8
186,186,1,1,6
187,187,1,1,3
188,188,1,1,4
