,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_autoaugment_mra4_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_autoaugment_mra4_255_is_rob4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_autoaugment_mra4_255_pred
0,0,0,0,68
1,1,1,0,33
2,2,0,0,30
3,3,1,1,51
4,4,1,1,71
5,5,0,0,6
6,6,0,0,42
7,7,0,0,4
8,8,0,0,71
9,9,0,0,53
10,10,0,0,54
11,11,1,0,75
12,12,1,0,81
13,13,1,1,69
14,14,1,1,40
15,15,1,0,43
16,16,1,1,92
17,17,1,1,97
18,18,1,1,70
19,19,1,1,53
20,20,1,1,70
21,21,1,0,49
22,22,1,1,75
23,23,0,0,96
24,24,1,1,21
25,25,1,1,16
26,26,1,1,39
27,27,1,1,8
28,28,1,1,8
29,29,0,0,28
30,30,1,1,20
31,31,1,0,61
32,32,1,1,41
33,33,0,0,55
34,34,1,1,56
35,35,0,0,27
36,36,1,1,58
37,37,0,0,35
38,38,1,1,25
39,39,1,0,37
40,40,1,0,63
41,41,0,0,18
42,42,0,0,67
43,43,0,0,30
44,44,1,1,56
45,45,1,1,22
46,46,1,1,41
47,47,1,1,58
48,48,1,1,75
49,49,0,0,76
50,50,1,1,4
51,51,1,0,6
52,52,1,1,9
53,53,1,1,57
54,54,1,0,2
55,55,1,1,32
56,56,1,1,71
57,57,1,0,52
58,58,1,1,42
59,59,1,1,69
60,60,0,0,99
61,61,1,1,27
62,62,0,0,31
63,63,0,0,38
64,64,0,1,62
65,65,1,0,35
66,66,1,1,43
67,67,1,1,82
68,68,1,1,63
69,69,0,0,33
70,70,1,0,66
71,71,0,0,6
72,72,0,1,76
73,73,1,1,91
74,74,0,1,76
75,75,1,1,32
76,76,1,1,82
77,77,1,0,10
78,78,1,1,77
79,79,1,0,22
80,80,1,1,71
81,81,1,1,78
82,82,1,1,54
83,83,1,1,6
84,84,1,1,29
85,85,1,1,89
86,86,0,1,99
87,87,0,0,31
88,88,0,0,35
89,89,0,0,30
90,90,1,0,22
91,91,1,1,18
92,92,1,0,27
93,93,1,1,21
94,94,1,0,13
95,95,1,0,21
96,96,0,0,6
97,97,1,0,75
98,98,0,0,68
99,99,0,0,85
100,100,1,0,26
101,101,0,0,92
102,102,0,0,96
103,103,0,0,44
104,104,1,1,43
105,105,1,1,69
106,106,1,1,76
107,107,1,1,17
108,108,1,1,57
109,109,0,0,47
110,110,1,1,25
111,111,1,1,20
112,112,1,1,27
113,113,0,0,83
114,114,1,0,9
115,115,1,0,71
116,116,1,0,8
117,117,1,1,43
118,118,1,1,57
119,119,1,1,56
120,120,1,1,85
121,121,0,0,45
122,122,1,0,19
123,123,1,1,92
124,124,1,1,33
125,125,1,1,20
126,126,1,1,21
127,127,1,0,50
128,128,1,1,70
129,129,0,0,98
130,130,0,0,46
131,131,1,1,16
132,132,1,0,1
133,133,1,0,74
134,134,0,0,34
135,135,1,1,91
136,136,1,1,60
137,137,0,0,46
138,138,1,0,52
139,139,1,1,23
140,140,1,0,4
141,141,1,1,11
142,142,1,1,52
143,143,0,0,89
144,144,1,1,24
145,145,1,1,95
146,146,0,0,58
147,147,1,1,39
148,148,1,0,51
149,149,1,1,58
150,150,1,1,58
151,151,1,0,77
152,152,1,0,18
153,153,0,0,60
154,154,1,1,45
155,155,1,0,66
156,156,1,1,58
157,157,1,1,20
158,158,1,0,24
159,159,0,0,42
160,160,1,1,36
161,161,1,0,8
162,162,1,0,87
163,163,1,1,10
164,164,1,0,30
165,165,0,0,96
166,166,1,1,54
167,167,1,1,99
168,168,1,1,51
169,169,0,0,0
170,170,1,1,9
171,171,0,0,45
172,172,0,0,33
173,173,0,0,16
174,174,1,1,95
175,175,1,0,83
176,176,0,1,95
177,177,1,1,73
178,178,1,0,18
179,179,1,1,40
180,180,1,0,39
181,181,0,0,50
182,182,1,1,22
183,183,0,0,65
184,184,0,0,16
185,185,1,1,28
186,186,0,0,46
187,187,1,1,95
188,188,1,0,98
189,189,1,1,83
190,190,1,1,12
191,191,1,1,24
192,192,1,0,45
193,193,1,1,13
194,194,1,1,94
195,195,1,1,24
196,196,1,1,58
197,197,1,1,63
198,198,1,0,7
199,199,1,1,87
200,200,1,0,6
201,201,1,1,78
202,202,1,0,68
203,203,1,1,60
204,204,1,1,6
205,205,1,1,23
206,206,0,0,45
207,207,1,1,31
208,208,1,1,80
209,209,1,1,93
210,210,0,0,67
211,211,0,0,11
212,212,1,0,49
213,213,0,0,41
214,214,1,1,97
215,215,0,0,33
216,216,0,0,53
217,217,1,0,67
218,218,0,0,86
219,219,1,0,81
220,220,1,1,94
221,221,0,0,30
222,222,0,0,68
223,223,1,1,77
224,224,1,1,12
225,225,0,0,30
226,226,1,1,0
227,227,0,0,39
228,228,1,0,79
229,229,1,1,71
230,230,1,1,89
231,231,0,0,0
232,232,0,0,59
233,233,1,1,24
234,234,1,1,65
235,235,0,0,83
236,236,1,0,32
237,237,1,1,36
238,238,1,1,82
239,239,1,0,31
240,240,1,1,23
241,241,1,1,24
242,242,1,0,34
243,243,1,1,21
244,244,1,1,11
245,245,1,1,53
246,246,1,0,80
247,247,1,0,44
248,248,0,0,33
249,249,0,1,70
250,250,1,1,91
251,251,1,1,16
252,252,1,0,36
253,253,1,1,68
254,254,1,0,50
255,255,0,0,88
256,256,0,0,8
257,257,0,0,93
258,258,1,0,6
259,259,1,1,42
260,260,1,0,80
261,261,1,1,76
262,262,1,0,89
263,263,0,0,31
264,264,1,0,19
265,265,1,1,91
266,266,0,0,1
267,267,0,0,93
268,268,1,0,6
269,269,1,0,62
270,270,1,1,99
271,271,1,1,51
272,272,1,0,96
273,273,0,0,0
274,274,0,0,37
275,275,1,0,18
276,276,1,1,67
277,277,0,0,76
278,278,1,1,40
279,279,1,1,62
280,280,1,1,78
281,281,1,1,84
282,282,1,1,28
283,283,1,0,89
284,284,1,1,30
285,285,1,0,66
286,286,1,0,18
287,287,0,0,19
288,288,0,0,88
289,289,1,1,92
290,290,1,0,27
291,291,0,0,38
292,292,1,1,86
293,293,0,0,93
294,294,1,0,96
295,295,1,1,12
296,296,1,0,16
297,297,1,0,67
298,298,0,0,19
299,299,0,0,48
300,300,0,0,33
301,301,1,1,12
302,302,1,1,40
303,303,0,1,77
304,304,0,0,67
305,305,0,0,79
306,306,1,1,76
307,307,1,0,31
308,308,0,0,69
309,309,1,1,28
310,310,1,0,19
311,311,0,0,6
312,312,1,1,41
313,313,0,0,43
314,314,0,0,3
315,315,0,0,15
316,316,0,0,49
317,317,1,0,15
318,318,0,0,61
319,319,1,1,8
320,320,0,1,17
321,321,1,0,89
322,322,0,0,54
323,323,1,1,67
324,324,1,0,12
325,325,1,1,2
326,326,0,0,35
327,327,1,1,91
328,328,1,1,94
329,329,0,1,79
330,330,1,1,71
331,331,1,0,36
332,332,1,1,61
333,333,1,1,62
334,334,0,0,23
335,335,1,1,60
336,336,0,0,67
337,337,1,1,91
338,338,1,0,34
339,339,0,0,93
340,340,1,0,9
341,341,1,0,40
342,342,1,1,68
343,343,1,1,62
344,344,1,1,99
345,345,1,1,66
346,346,0,0,4
347,347,0,0,24
348,348,0,0,96
349,349,0,0,4
350,350,1,1,68
351,351,0,0,43
352,352,0,0,33
353,353,1,1,58
354,354,1,1,48
355,355,1,1,40
356,356,1,0,96
357,357,1,0,14
358,358,0,0,35
359,359,0,0,67
360,360,1,1,64
361,361,1,1,39
362,362,0,0,49
363,363,1,0,94
364,364,1,1,63
365,365,1,0,10
366,366,1,0,89
367,367,0,0,54
368,368,1,1,90
369,369,0,0,38
370,370,1,0,90
371,371,1,1,33
372,372,1,1,28
373,373,1,1,29
374,374,0,0,65
375,375,1,1,86
376,376,1,1,7
377,377,1,1,0
378,378,1,1,94
379,379,0,0,45
380,380,1,0,26
381,381,1,1,6
382,382,1,1,41
383,383,0,1,72
384,384,1,1,69
385,385,0,0,45
386,386,1,1,29
387,387,0,0,73
388,388,1,1,85
389,389,1,1,65
390,390,1,0,40
391,391,1,1,57
392,392,0,0,32
393,393,1,1,30
394,394,0,0,55
395,395,1,0,27
396,396,0,1,4
397,397,1,0,49
398,398,1,1,52
399,399,0,0,73
400,400,1,1,40
401,401,0,0,55
402,402,0,0,88
403,403,0,0,37
404,404,1,0,6
405,405,1,1,57
406,406,1,0,72
407,407,1,1,16
408,408,0,0,35
409,409,0,0,8
410,410,1,1,40
411,411,1,0,96
412,412,1,1,71
413,413,0,0,31
414,414,0,0,32
415,415,1,1,66
416,416,0,0,64
417,417,0,0,89
418,418,1,1,53
419,419,0,0,88
420,420,0,0,66
421,421,0,0,31
422,422,1,0,88
423,423,1,0,96
424,424,1,0,68
425,425,1,0,42
426,426,1,1,77
427,427,1,0,10
428,428,1,0,27
429,429,0,0,11
430,430,1,0,79
431,431,1,1,98
432,432,0,0,55
433,433,1,1,51
434,434,1,0,2
435,435,0,0,51
436,436,1,0,31
437,437,0,0,30
438,438,1,1,36
439,439,1,0,10
440,440,1,1,16
441,441,1,1,5
442,442,1,0,81
443,443,1,1,85
444,444,0,0,6
445,445,1,1,85
446,446,1,0,65
447,447,0,0,26
448,448,0,0,4
449,449,0,0,56
450,450,0,0,95
451,451,0,1,17
452,452,0,0,22
453,453,1,0,18
454,454,0,0,35
455,455,1,1,9
456,456,0,0,38
457,457,0,0,93
458,458,1,0,7
459,459,1,0,5
460,460,1,0,58
461,461,1,1,87
462,462,1,1,76
463,463,0,1,87
464,464,0,0,14
465,465,1,0,38
466,466,0,0,74
467,467,1,1,17
468,468,1,1,6
469,469,1,1,0
470,470,1,0,79
471,471,1,1,97
472,472,0,0,77
473,473,1,0,14
474,474,0,0,67
475,475,0,0,70
476,476,0,0,27
477,477,1,0,42
478,478,0,0,63
479,479,1,0,25
480,480,0,0,85
481,481,1,1,75
482,482,0,0,10
483,483,1,0,41
484,484,1,1,0
485,485,1,0,99
486,486,0,0,34
487,487,1,0,87
488,488,0,0,93
489,489,1,0,72
490,490,1,0,38
491,491,0,0,34
492,492,1,0,49
493,493,1,0,3
494,494,1,0,74
495,495,0,0,27
496,496,0,0,57
497,497,0,0,55
498,498,1,1,89
499,499,1,1,71
500,500,0,0,50
501,501,1,0,50
502,502,1,1,90
503,503,1,1,11
504,504,0,0,35
505,505,1,1,41
506,506,1,0,38
507,507,1,1,58
508,508,1,1,47
509,509,1,1,93
