,sample_idx,label,base_prediction,prediction,linf_radius,l2_radius
0,6659,1,1,1,0.00412602276164876,0.22868739380356168
1,4529,4,4,4,0.00412602276164876,0.22868739380356168
2,5519,6,6,6,0.003605503185826641,0.19983727055050218
3,2523,4,4,4,0.00412602276164876,0.22868739380356168
4,8484,3,3,3,0.00412602276164876,0.22868739380356168
5,9523,5,5,5,0.00412602276164876,0.22868739380356168
6,6509,9,9,9,0.00412602276164876,0.22868739380356168
7,3298,3,9,3,0.0015300782872182633,0.08480554665663992
8,786,3,3,3,0.00412602276164876,0.22868739380356168
9,3876,7,7,7,0.00412602276164876,0.22868739380356168
10,4263,6,6,6,0.00412602276164876,0.22868739380356168
11,63,3,3,3,0.003048336245824875,0.16895594420231852
12,9148,3,3,3,0.002130634335836225,0.11809174150461156
13,8116,9,9,9,0.00412602276164876,0.22868739380356168
14,1438,5,5,5,0.00412602276164876,0.22868739380356168
15,1861,3,3,3,0.00412602276164876,0.22868739380356168
16,9700,0,0,0,0.00412602276164876,0.22868739380356168
17,5028,9,9,9,0.00412602276164876,0.22868739380356168
18,4567,4,4,4,0.00412602276164876,0.22868739380356168
19,5700,3,5,5,0.0010897793219224515,0.06040170094744466
20,5749,5,3,3,0.00412602276164876,0.22868739380356168
21,7072,8,8,8,0.00412602276164876,0.22868739380356168
22,9224,6,6,6,0.00412602276164876,0.22868739380356168
23,48,7,7,7,0.00412602276164876,0.22868739380356168
24,7731,1,1,1,0.00412602276164876,0.22868739380356168
25,5788,0,0,0,0.00412602276164876,0.22868739380356168
26,330,1,1,1,0.00412602276164876,0.22868739380356168
27,4153,0,0,0,0.00412602276164876,0.22868739380356168
28,1827,4,4,4,0.00412602276164876,0.22868739380356168
29,7334,5,5,5,0.00412602276164876,0.22868739380356168
30,6159,1,1,1,0.00412602276164876,0.22868739380356168
31,844,1,1,1,0.00412602276164876,0.22868739380356168
32,395,6,6,6,0.00412602276164876,0.22868739380356168
33,8768,2,2,2,0.00412602276164876,0.22868739380356168
34,8669,4,4,4,0.00412602276164876,0.22868739380356168
35,4678,9,9,9,0.00412602276164876,0.22868739380356168
36,2892,0,0,0,0.00412602276164876,0.22868739380356168
37,2215,0,0,0,0.00412602276164876,0.22868739380356168
38,4760,3,0,3,0.00412602276164876,0.22868739380356168
39,4367,0,0,0,0.00412602276164876,0.22868739380356168
40,9896,4,4,4,0.00412602276164876,0.22868739380356168
41,9291,8,8,8,0.00412602276164876,0.22868739380356168
42,4566,8,8,8,0.00412602276164876,0.22868739380356168
43,9399,7,7,7,0.00412602276164876,0.22868739380356168
44,7767,9,9,9,0.00412602276164876,0.22868739380356168
45,5684,7,7,4,0.00011523661928537194,0.0063870617438315435
46,8140,5,5,5,0.0033165224736534387,0.1838203337219766
47,3629,1,1,1,0.00412602276164876,0.22868739380356168
48,2923,3,3,3,0.00412602276164876,0.22868739380356168
49,1508,8,8,8,0.00412602276164876,0.22868739380356168
50,4792,0,0,0,0.004047723353656394,0.22434760011251073
51,7000,2,8,8,0.000664782543104837,0.03684598850055759
52,9917,2,2,2,0.00412602276164876,0.22868739380356168
53,7615,5,5,5,0.00412602276164876,0.22868739380356168
54,9924,4,0,4,0.0029452238344230375,0.16324087426827286
55,987,1,1,1,0.00412602276164876,0.22868739380356168
56,3684,9,9,9,0.00412602276164876,0.22868739380356168
57,1900,8,8,8,0.00412602276164876,0.22868739380356168
58,8194,1,1,1,0.00412602276164876,0.22868739380356168
59,3692,4,4,4,0.00412602276164876,0.22868739380356168
60,1077,0,0,0,0.00412602276164876,0.22868739380356168
61,4691,2,2,2,0.00412602276164876,0.22868739380356168
62,3497,0,0,1,0.0017830544896515607,0.09882691099968953
63,6014,5,7,7,0.0008548792204557849,0.047382215813257425
64,2509,2,2,2,0.00412602276164876,0.22868739380356168
65,617,6,6,6,0.00412602276164876,0.22868739380356168
66,666,9,9,9,0.00412602276164876,0.22868739380356168
67,389,5,5,5,0.00412602276164876,0.22868739380356168
68,6946,6,6,6,0.00412602276164876,0.22868739380356168
69,1916,9,9,9,0.00412602276164876,0.22868739380356168
70,779,5,5,5,0.004047723353656394,0.22434760011251073
71,1984,7,7,7,0.00412602276164876,0.22868739380356168
72,265,8,8,8,0.00412602276164876,0.22868739380356168
73,7556,2,2,2,0.003816186378118344,0.21151451833770324
74,2021,8,8,8,0.00412602276164876,0.22868739380356168
75,736,1,1,1,0.00412602276164876,0.22868739380356168
76,8516,8,8,8,0.00412602276164876,0.22868739380356168
77,2168,5,5,5,0.00412602276164876,0.22868739380356168
78,4761,9,9,9,0.00412602276164876,0.22868739380356168
79,7379,7,7,7,0.00412602276164876,0.22868739380356168
80,3565,1,1,1,0.00412602276164876,0.22868739380356168
81,6442,6,6,6,0.00412602276164876,0.22868739380356168
82,3950,8,8,8,0.00412602276164876,0.22868739380356168
83,1751,1,1,1,0.00412602276164876,0.22868739380356168
84,7654,4,4,4,0.00412602276164876,0.22868739380356168
85,812,7,7,7,0.00412602276164876,0.22868739380356168
86,8513,9,9,9,0.00412602276164876,0.22868739380356168
87,8761,0,0,0,0.00412602276164876,0.22868739380356168
88,6219,7,7,7,0.00412602276164876,0.22868739380356168
89,486,9,9,9,0.00412602276164876,0.22868739380356168
90,3524,5,5,5,0.0015330771988476333,0.08497176321054321
91,4954,1,1,1,0.00412602276164876,0.22868739380356168
92,9193,0,0,0,0.00412602276164876,0.22868739380356168
93,8830,9,9,9,0.00412602276164876,0.22868739380356168
94,7312,2,2,2,0.00412602276164876,0.22868739380356168
95,7745,7,7,7,0.00412602276164876,0.22868739380356168
96,166,8,8,8,0.00412602276164876,0.22868739380356168
97,5403,7,7,7,0.00412602276164876,0.22868739380356168
98,2321,2,2,2,0.00412602276164876,0.22868739380356168
99,3003,2,2,2,0.00412602276164876,0.22868739380356168
100,1147,6,6,9,0.0007755609237230102,0.042985949576105735
101,9773,9,9,9,0.00412602276164876,0.22868739380356168
102,5316,4,4,4,0.00412602276164876,0.22868739380356168
103,799,2,2,2,0.00412602276164876,0.22868739380356168
