,sample_idx,label,base_prediction,prediction,linf_radius,l2_radius
0,6659,1,1,1,0.00412602276164876,0.22868739380356168
1,4529,4,3,4,0.0019301513883738354,0.10697984867081892
2,5519,6,6,6,0.00412602276164876,0.22868739380356168
3,2523,4,0,4,0.0005426073616471841,0.030074352605882336
4,8484,3,7,7,0.0008804608907808471,0.048800095901112936
5,9523,5,5,5,0.00412602276164876,0.22868739380356168
6,6509,9,9,9,0.00412602276164876,0.22868739380356168
7,3298,3,3,3,0.0031547854158184923,0.17485595606959795
8,786,3,3,3,0.003259284430317925,0.18064787934812254
9,3876,7,7,7,0.00412602276164876,0.22868739380356168
10,4263,6,6,6,0.00412602276164876,0.22868739380356168
11,63,3,3,9,0.0010494931460311061,0.05816881443587772
12,9148,3,5,5,0.000376742325769056,0.020881179186997455
13,8116,9,9,9,0.00412602276164876,0.22868739380356168
14,1438,5,5,5,0.0004591947976909968,0.025451159045507783
15,1861,3,3,3,0.00412602276164876,0.22868739380356168
16,9700,0,0,0,0.00412602276164876,0.22868739380356168
17,5028,9,9,9,0.00412602276164876,0.22868739380356168
18,4567,4,4,4,0.0032478128397268333,0.18001205926020575
19,5700,3,3,3,0.002657392053924566,0.14728761769686918
20,5749,5,3,3,0.0019600506252958148,0.10863703258942396
21,7072,8,8,8,0.00412602276164876,0.22868739380356168
22,9224,6,6,6,0.0006041361319581818,0.03348462320767061
23,48,7,7,7,0.00412602276164876,0.22868739380356168
24,7731,1,1,1,0.00412602276164876,0.22868739380356168
25,5788,0,0,0,0.00412602276164876,0.22868739380356168
26,330,1,1,1,0.00412602276164876,0.22868739380356168
27,4153,0,0,0,0.00412602276164876,0.22868739380356168
28,1827,4,4,4,0.00412602276164876,0.22868739380356168
29,7334,5,5,5,0.0025504811149873775,0.14136201199689785
30,6159,1,1,1,0.00412602276164876,0.22868739380356168
31,844,1,1,1,0.00412602276164876,0.22868739380356168
32,395,6,6,6,0.00412602276164876,0.22868739380356168
33,8768,2,2,2,0.0021044928250220428,0.11664283190727477
34,8669,4,4,4,0.0008366781327473289,0.0463734091360074
35,4678,9,8,8,0.0010336639618940921,0.057291471998512235
36,2892,0,0,0,0.00412602276164876,0.22868739380356168
37,2215,0,0,0,0.003887659058104511,0.21547593635655612
38,4760,3,0,0,0.0009344144888255709,0.05179050783918047
39,4367,0,0,3,0.00037656887177137447,0.020871565390621124
40,9896,4,4,4,0.00412602276164876,0.22868739380356168
41,9291,8,8,8,0.00412602276164876,0.22868739380356168
42,4566,8,8,8,0.00412602276164876,0.22868739380356168
43,9399,7,7,7,0.00412602276164876,0.22868739380356168
44,7767,9,9,9,0.00412602276164876,0.22868739380356168
45,5684,7,7,4,0.0010177147728487215,0.05640747821399695
46,8140,5,5,-1,0.0,0.0
47,3629,1,1,1,0.00412602276164876,0.22868739380356168
48,2923,3,3,3,0.0022885743613417163,0.1268456662637871
49,1508,8,8,8,0.00412602276164876,0.22868739380356168
50,4792,0,4,4,0.0010099080484254933,0.05597478562706191
51,7000,2,0,0,0.0017907347112177058,0.09925259208659992
52,9917,2,2,2,0.00412602276164876,0.22868739380356168
53,7615,5,5,5,0.00399415802484245,0.2213787082395545
54,9924,4,4,4,0.0031723718781699814,0.1758306967517796
55,987,1,1,1,0.00412602276164876,0.22868739380356168
56,3684,9,9,9,0.00412602276164876,0.22868739380356168
57,1900,8,8,8,0.00412602276164876,0.22868739380356168
58,8194,1,1,1,0.00412602276164876,0.22868739380356168
59,3692,4,4,4,0.00412602276164876,0.22868739380356168
60,1077,0,0,0,0.00412602276164876,0.22868739380356168
61,4691,2,2,2,0.0032394615893661504,0.17954918598239997
62,3497,0,1,1,0.002181710650384926,0.12092267820418659
63,6014,5,3,3,0.001617319446157292,0.08964094249003478
64,2509,2,2,2,0.0001320495285516186,0.007318927762141455
65,617,6,6,6,0.0029064342853993307,0.16109093923749707
66,666,9,9,9,0.00412602276164876,0.22868739380356168
67,389,5,5,5,0.003730441162611335,0.20676203610525262
68,6946,6,6,6,0.004047723353656394,0.22434760011251073
69,1916,9,9,9,0.00412602276164876,0.22868739380356168
70,779,5,6,6,0.0018280372645264156,0.10132010944924734
71,1984,7,7,7,0.00412602276164876,0.22868739380356168
72,265,8,8,8,0.00412602276164876,0.22868739380356168
73,7556,2,2,2,0.003796485030420496,0.21042255881161515
74,2021,8,8,8,0.00412602276164876,0.22868739380356168
75,736,1,1,1,0.00412602276164876,0.22868739380356168
76,8516,8,8,8,0.0025687283028840782,0.14237337380593276
77,2168,5,5,5,0.0019353517888553039,0.1072680841221344
78,4761,9,9,9,0.00412602276164876,0.22868739380356168
79,7379,7,7,7,0.002883276810291331,0.15980742168671092
80,3565,1,1,1,0.00412602276164876,0.22868739380356168
81,6442,6,6,6,0.0006899298707858751,0.038239794875538115
82,3950,8,8,8,0.003816186378118344,0.21151451833770324
83,1751,1,1,1,0.00412602276164876,0.22868739380356168
84,7654,4,4,4,0.0034878924688564396,0.19331862295667843
85,812,7,7,7,0.0025616210884724187,0.1419794519991718
86,8513,9,9,9,0.00412602276164876,0.22868739380356168
87,8761,0,0,0,0.0038612968900438027,0.214014796693234
88,6219,7,7,7,0.00399415802484245,0.2213787082395545
89,486,9,9,9,0.00412602276164876,0.22868739380356168
90,3524,5,7,7,0.0011416886365247323,0.06327880719631593
91,4954,1,1,1,0.00399415802484245,0.2213787082395545
92,9193,0,0,0,0.003634252218983225,0.20143070370556412
93,8830,9,9,9,0.00412602276164876,0.22868739380356168
94,7312,2,0,2,0.000521885360454395,0.028925822721069104
95,7745,7,7,7,0.00412602276164876,0.22868739380356168
96,166,8,8,8,0.004047723353656394,0.22434760011251073
97,5403,7,7,7,0.00412602276164876,0.22868739380356168
98,2321,2,2,2,0.0018565970400898548,0.10290305288376385
99,3003,2,2,2,0.002242833639081437,0.12431045810603669
100,1147,6,9,9,0.0008184591519734765,0.045363610724409545
101,9773,9,9,9,0.003259284430317925,0.18064787934812254
102,5316,4,4,4,0.0025246539315248824,0.13993052418974763
103,799,2,5,5,0.0003030838048141806,0.016798609564462382
104,493,1,1,1,0.00412602276164876,0.22868739380356168
105,2000,1,1,1,0.00412602276164876,0.22868739380356168
106,5292,4,5,7,9.482750109533182e-05,0.005255873595261058
107,5745,5,5,5,0.002762729260840034,0.15312599831462873
108,7297,9,9,9,0.00412602276164876,0.22868739380356168
109,7146,0,0,0,0.003062909257065462,0.16976366247073355
110,5191,3,3,4,5.615054116471071e-05,0.0031121788854325334
111,9588,1,1,1,0.00412602276164876,0.22868739380356168
112,1653,9,9,9,0.00412602276164876,0.22868739380356168
113,9434,7,7,7,0.0028425655257936153,0.157550973264585
114,4448,4,3,-1,0.0,0.0
115,5835,3,5,5,0.0007995392193654718,0.04431496161871856
116,9059,2,2,2,0.0012347873498523001,0.06843886164760032
117,264,0,8,8,0.0022928014543731148,0.12707995554054557
118,4563,7,7,7,0.0027932747670538676,0.1548190021131974
119,8012,3,3,3,0.003917565560965167,0.21713352299435967
120,8887,4,4,4,0.00412602276164876,0.22868739380356168
121,1410,1,1,1,0.00412602276164876,0.22868739380356168
122,2604,8,8,8,0.004047723353656394,0.22434760011251073
123,1015,4,4,4,0.00412602276164876,0.22868739380356168
124,3269,7,7,7,0.00412602276164876,0.22868739380356168
125,1020,1,1,1,0.00412602276164876,0.22868739380356168
126,574,6,6,6,0.003952312334401369,0.2190593846580584
127,5525,3,3,3,1.6035929099584714e-05,0.0008888014063056948
128,4487,3,3,3,0.003131974373351017,0.17359163976472503
129,4693,4,4,4,0.003917565560965167,0.21713352299435967
130,3953,7,7,7,0.00261027519650334,0.14467613638657983
131,3879,7,7,7,0.00412602276164876,0.22868739380356168
132,7005,1,8,8,0.00016908098628534677,0.009371419482882467
133,53,3,3,3,0.003761289336303076,0.20847181543820636
134,4649,8,0,0,0.00412602276164876,0.22868739380356168
135,5595,6,6,6,0.003038936925982437,0.16843498101756035
136,5956,4,2,4,0.0004917644477460565,0.02725635228327104
